id,label
TEST_00000,남잘
TEST_00001,상황
TEST_00002,받아들일
TEST_00003,바구니
TEST_00004,살
TEST_00005,빼놓고
TEST_00006,인식하다
TEST_00007,센터
TEST_00008,소풍
TEST_00009,공주
TEST_00010,나나
TEST_00011,위험
TEST_00012,돈도
TEST_00013,슬퍼
TEST_00014,괴로워하다
TEST_00015,카드
TEST_00016,합니다
TEST_00017,다정한
TEST_00018,혼자
TEST_00019,가능하다
TEST_00020,호주
TEST_00021,벌전되다
TEST_00022,리우다
TEST_00023,스웨터
TEST_00024,시작된다
TEST_00025,겨울
TEST_00026,우선
TEST_00027,한국발
TEST_00028,세워진
TEST_00029,비방밥
TEST_00030,좋다
TEST_00031,남대문시장
TEST_00032,부수적
TEST_00033,사진이
TEST_00034,내린다
TEST_00035,평생
TEST_00036,맛있다
TEST_00037,특별히
TEST_00038,우선
TEST_00039,대답
TEST_00040,학생
TEST_00041,아들
TEST_00042,본지
TEST_00043,현대
TEST_00044,착하다
TEST_00045,지저문하다
TEST_00046,둘다
TEST_00047,아래
TEST_00048,걸었다
TEST_00049,선원
TEST_00050,호주
TEST_00051,연속
TEST_00052,볼프강
TEST_00053,가위
TEST_00054,기차
TEST_00055,저것
TEST_00056,기침
TEST_00057,이쪽
TEST_00058,불안
TEST_00059,바람직하다
TEST_00060,작아지다
TEST_00061,하기
TEST_00062,양말
TEST_00063,피곤
TEST_00064,말씀
TEST_00065,아무튼
TEST_00066,경험
TEST_00067,이모
TEST_00068,역사상
TEST_00069,공개할
TEST_00070,영화관
TEST_00071,피자
TEST_00072,위험
TEST_00073,일하다
TEST_00074,있다
TEST_00075,사실
TEST_00076,선물
TEST_00077,아직
TEST_00078,결심하다
TEST_00079,블라우스
TEST_00080,이자
TEST_00081,프리다
TEST_00082,지우고
TEST_00083,사망
TEST_00084,아니다
TEST_00085,출산
TEST_00086,그러다
TEST_00087,마마
TEST_00088,깨끗해지다
TEST_00089,소규모
TEST_00090,나아질
TEST_00091,말이다
TEST_00092,예
TEST_00093,분
TEST_00094,캐나다
TEST_00095,경우
TEST_00096,마지막
TEST_00097,경보
TEST_00098,소리
TEST_00099,인사
TEST_00100,않다
TEST_00101,왜
TEST_00102,몰래
TEST_00103,불가능하다
TEST_00104,체정하다
TEST_00105,땅바닥에
